10Y Treasury Yield,Implied Mortgage Rate,Vehicle,Total Score
3.0,5.08,Listed REIT ETF (XLRE),68.57284577200578
3.0,5.08,Direct Residential Property,52.125
3.0,5.08,Private / Leveraged Real Estate,45.36403645833333
3.25,5.279999999999999,Listed REIT ETF (XLRE),66.69784577200578
3.25,5.279999999999999,Direct Residential Property,50.5
3.25,5.279999999999999,Private / Leveraged Real Estate,43.80153645833333
3.5,5.4799999999999995,Listed REIT ETF (XLRE),64.82284577200578
3.5,5.4799999999999995,Direct Residential Property,48.875
3.5,5.4799999999999995,Private / Leveraged Real Estate,42.23903645833333
3.75,5.68,Listed REIT ETF (XLRE),62.94784577200578
3.75,5.68,Direct Residential Property,47.25
3.75,5.68,Private / Leveraged Real Estate,40.67653645833333
4.0,5.88,Listed REIT ETF (XLRE),61.07284577200578
4.0,5.88,Direct Residential Property,45.625
4.0,5.88,Private / Leveraged Real Estate,39.11403645833333
4.25,6.08,Listed REIT ETF (XLRE),59.19784577200578
4.25,6.08,Direct Residential Property,44.0
4.25,6.08,Private / Leveraged Real Estate,37.55153645833333
4.5,6.279999999999999,Listed REIT ETF (XLRE),57.32284577200578
4.5,6.279999999999999,Direct Residential Property,42.375
4.5,6.279999999999999,Private / Leveraged Real Estate,35.98903645833333
4.75,6.4799999999999995,Listed REIT ETF (XLRE),55.44784577200578
4.75,6.4799999999999995,Direct Residential Property,40.75
4.75,6.4799999999999995,Private / Leveraged Real Estate,34.42653645833334
5.0,6.68,Listed REIT ETF (XLRE),53.57284577200578
5.0,6.68,Direct Residential Property,39.125
5.0,6.68,Private / Leveraged Real Estate,32.86403645833333
5.25,6.88,Listed REIT ETF (XLRE),51.69784577200578
5.25,6.88,Direct Residential Property,37.5
5.25,6.88,Private / Leveraged Real Estate,31.301536458333334
5.5,7.08,Listed REIT ETF (XLRE),49.82284577200578
5.5,7.08,Direct Residential Property,35.875
5.5,7.08,Private / Leveraged Real Estate,29.739036458333334
